x,y,z,3,4,5
0,0,5.06212,0,-15.61,0
1.5025,0,4.8506,0,-12.172,0
2.1266,0,4.63912,0,0,0
2.5889,0,4.63912,0,0,0
2.4271,0.30402,4.269,0,0,0
1.6412,0.30402,4.37472,0,0,0
1.3407,0,4.4276,0,0,0
0,0,4.53336,0,-12.358,0
0,-0.69099,4.692,0,-22.393,0
0,-0.66336,5.00924,0,-27.318,0
-1.202,-0.66336,5.22072,0,-36.331,0
0,0,5.32648,0,-26.667,0
0,0,5.80236,0,-27.968,0
0,0,6.01384,0,-29.455,0
0,0,5.961,0,-29.641,0
0,0,5.961,0,-30.013,0
0,-0.55971,6.33112,12.01,-10.499,0
0,-0.32475,6.384,17.428,-15.517,0
0,0,6.17248,20.588,-17.097,0
0,0,5.80236,14.899,-21.092,0
0,0,5.85524,11.016,-26.853,0
0,0,5.59084,0,-23.229,0
0,0,5.64372,0,-22.765,0
0,0,5.74948,0,-23.044,0
0,0.4146,5.64372,0,-15.424,0
